Name,Position,Age,Market Value,Club Name
Erling Haaland,Centre-Forward,24,€200.00m,Manchester City
Vinicius Junior,Left Winger,24,€200.00m,Real Madrid
Lamine Yamal,Right Winger,17,€180.00m,FC Barcelona
Kylian Mbappé,Centre-Forward,26,€160.00m,Real Madrid
Bukayo Saka,Right Winger,23,€150.00m,Arsenal FC
Phil Foden,Right Winger,24,€140.00m,Manchester City
Lautaro Martínez,Centre-Forward,27,€100.00m,Inter Milan
Rodrygo,Right Winger,24,€100.00m,Real Madrid
Harry Kane,Centre-Forward,31,€90.00m,Bayern Munich
Luis Díaz,Left Winger,28,€85.00m,Liverpool FC
Khvicha Kvaratskhelia,Left Winger,24,€85.00m,Paris Saint-Germain
Julián Alvarez,Centre-Forward,25,€80.00m,Atlético de Madrid
Raphinha,Left Winger,28,€80.00m,FC Barcelona
Rafael Leão,Left Winger,25,€75.00m,AC Milan
Kai Havertz,Centre-Forward,25,€75.00m,Arsenal FC
Marcus Thuram,Centre-Forward,27,€75.00m,Inter Milan
Viktor Gyökeres,Centre-Forward,26,€75.00m,Sporting CP
Michael Olise,Right Winger,23,€65.00m,Bayern Munich
Darwin Núñez,Centre-Forward,25,€65.00m,Liverpool FC
Bradley Barcola,Left Winger,22,€65.00m,Paris Saint-Germain
Cody Gakpo,Left Winger,25,€60.00m,Liverpool FC
Omar Marmoush,Centre-Forward,26,€60.00m,Manchester City
Jérémy Doku,Left Winger,22,€60.00m,Manchester City
Dušan Vlahović,Centre-Forward,25,€60.00m,Juventus FC
Loïs Openda,Centre-Forward,24,€60.00m,RB Leipzig
Savinho,Right Winger,20,€55.00m,Manchester City
Ousmane Dembélé,Right Winger,27,€55.00m,Paris Saint-Germain
Mohamed Salah,Right Winger,32,€55.00m,Liverpool FC
Ademola Lookman,Second Striker,27,€55.00m,Atalanta BC
Gabriel Martinelli,Left Winger,23,€55.00m,Arsenal FC
Marcus Rashford,Left Winger,27,€55.00m,Aston Villa
Ollie Watkins,Centre-Forward,29,€55.00m,Aston Villa
Gonçalo Ramos,Centre-Forward,23,€50.00m,Paris Saint-Germain
Diogo Jota,Centre-Forward,28,€50.00m,Liverpool FC
Jamie Gittens,Left Winger,20,€50.00m,Borussia Dortmund
Benjamin Sesko,Centre-Forward,21,€50.00m,RB Leipzig
Christian Pulisic,Right Winger,26,€50.00m,AC Milan
Jack Grealish,Left Winger,29,€45.00m,Manchester City
Leroy Sané,Right Winger,29,€45.00m,Bayern Munich
Arda Güler,Right Winger,19,€45.00m,Real Madrid
Victor Boniface,Centre-Forward,24,€45.00m,Bayer 04 Leverkusen
Kenan Yıldız,Left Winger,19,€45.00m,Juventus FC
Gabriel Jesus,Centre-Forward,27,€45.00m,Arsenal FC
Jonathan David,Centre-Forward,25,€45.00m,LOSC Lille
Endrick,Centre-Forward,18,€40.00m,Real Madrid
Désiré Doué,Left Winger,19,€40.00m,Paris Saint-Germain
Serhou Guirassy,Centre-Forward,28,€40.00m,Borussia Dortmund
Johan Bakayoko,Right Winger,21,€40.00m,PSV Eindhoven
Maghnes Akliouche,Right Winger,22,€40.00m,AS Monaco
Leon Bailey,Right Winger,27,€38.00m,Aston Villa
Santiago Gimenez,Centre-Forward,23,€37.00m,AC Milan
Francisco Conceição,Right Winger,22,€36.00m,Juventus FC
