Name,Position,Age,Market Value,Club Name
Jude Bellingham,Attacking Midfield,21,€180.00m,Real Madrid
Jamal Musiala,Attacking Midfield,21,€140.00m,Bayern Munich
Florian Wirtz,Attacking Midfield,21,€140.00m,Bayer 04 Leverkusen
Rodri,Defensive Midfield,28,€130.00m,Manchester City
Federico Valverde,Central Midfield,26,€130.00m,Real Madrid
Martin Ødegaard,Attacking Midfield,26,€110.00m,Arsenal FC
Declan Rice,Central Midfield,26,€110.00m,Arsenal FC
Pedri,Central Midfield,22,€100.00m,FC Barcelona
Aurélien Tchouaméni,Defensive Midfield,25,€80.00m,Real Madrid
Eduardo Camavinga,Central Midfield,22,€80.00m,Real Madrid
Alexis Mac Allister,Central Midfield,26,€80.00m,Liverpool FC
Nicolò Barella,Central Midfield,28,€80.00m,Inter Milan
Xavi Simons,Attacking Midfield,21,€80.00m,RB Leipzig
Gavi,Central Midfield,20,€80.00m,FC Barcelona
Dominik Szoboszlai,Central Midfield,24,€75.00m,Liverpool FC
Bernardo Silva,Attacking Midfield,30,€60.00m,Manchester City
João Neves,Defensive Midfield,20,€60.00m,Paris Saint-Germain
Warren Zaïre-Emery,Central Midfield,18,€60.00m,Paris Saint-Germain
Dani Olmo,Attacking Midfield,26,€60.00m,FC Barcelona
Vitinha,Central Midfield,25,€55.00m,Paris Saint-Germain
Ryan Gravenberch,Defensive Midfield,22,€55.00m,Liverpool FC
Amadou Onana,Defensive Midfield,23,€55.00m,Aston Villa
Joshua Kimmich,Defensive Midfield,30,€50.00m,Bayern Munich
Aleksandar Pavlovic,Defensive Midfield,20,€50.00m,Bayern Munich
Fermín López,Central Midfield,21,€50.00m,FC Barcelona
Jeremie Frimpong,Right Midfield,24,€50.00m,Bayer 04 Leverkusen
Pablo Barrios,Central Midfield,21,€50.00m,Atlético de Madrid
Éderson,Central Midfield,25,€50.00m,Atalanta BC
Teun Koopmeiners,Attacking Midfield,26,€50.00m,Juventus FC
Tijjani Reijnders,Central Midfield,26,€50.00m,AC Milan
Curtis Jones,Central Midfield,24,€45.00m,Liverpool FC
Frenkie de Jong,Central Midfield,27,€45.00m,FC Barcelona
Douglas Luiz,Central Midfield,26,€45.00m,Juventus FC
Mikel Merino,Central Midfield,28,€45.00m,Arsenal FC
Morten Hjulmand,Defensive Midfield,25,€45.00m,Sporting CP
Enzo Millot,Attacking Midfield,22,€42.00m,VfB Stuttgart
Matheus Nunes,Central Midfield,26,€40.00m,Manchester City
João Palhinha,Defensive Midfield,29,€40.00m,Bayern Munich
Hakan Çalhanoğlu,Defensive Midfield,31,€40.00m,Inter Milan
Exequiel Palacios,Central Midfield,26,€40.00m,Bayer 04 Leverkusen
Conor Gallagher,Central Midfield,25,€40.00m,Atlético de Madrid
Morgan Rogers,Attacking Midfield,22,€40.00m,Aston Villa
Charles De Ketelaere,Attacking Midfield,23,€38.00m,Atalanta BC
Boubacar Kamara,Defensive Midfield,25,€38.00m,Aston Villa
Kevin De Bruyne,Attacking Midfield,33,€35.00m,Manchester City
Fabián Ruiz,Central Midfield,28,€35.00m,Paris Saint-Germain
Harvey Elliott,Central Midfield,21,€35.00m,Liverpool FC
Julian Brandt,Attacking Midfield,28,€35.00m,Borussia Dortmund
Khéphren Thuram,Central Midfield,23,€35.00m,Juventus FC
Davide Frattesi,Central Midfield,25,€32.00m,Inter Milan
Georgiy Sudakov,Attacking Midfield,22,€32.00m,Shakhtar Donetsk
Quinten Timber,Central Midfield,23,€32.00m,Feyenoord Rotterdam
Jerdy Schouten,Defensive Midfield,28,€32.00m,PSV Eindhoven
