Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,Sh/90,SoT/90,G/SoT,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Compl,Subs,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Market Value,Market Value Euros
1,max aarons,eng ENG,DF,Bournemouth,eng Premier League,25,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,1,eng ENG,DF,eng Premier League,25-051,2000,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,eng ENG,DF,eng Premier League,25-051,2000,1.0,50,63,79.4,887,361,0,0.0,0.0,0.0,0,8,0,0,8,1,eng ENG,DF,eng Premier League,25-051,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,1,eng ENG,DF,eng Premier League,25-051,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.0,1,eng ENG,DF,eng Premier League,25-051,2000,1.0,2,2,1,1,0,1,100.0,0,3,1,2,1,3,0,0,1,eng ENG,DF,eng Premier League,25-051,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,1,eng ENG,DF,eng Premier League,25-051,2000,3,86,29,3.7,1.0,1,0,2,11,0.67,2,0,2,2.09,1.61,2.3,0.3,2.0,2.12,1,eng ENG,DF,eng Premier League,25-051,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,57.1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,16000000
2,max aarons,eng ENG,MF,Valencia,es La Liga,25,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.0,0.0,2,eng ENG,MF,es La Liga,25-051,2000,0.3,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,2,eng ENG,MF,es La Liga,25-051,2000,0.3,14,18,77.8,222,48,0,0.0,0.0,0.0,0,1,0,0,2,2,eng ENG,MF,es La Liga,25-051,2000,0.3,18,14,4,0,0,0,2,4,0,0,0,0,14,0,0,2,eng ENG,MF,es La Liga,25-051,2000,0.3,0,0.0,0,0,0,0,0,0,0,0.0,2,eng ENG,MF,es La Liga,25-051,2000,0.3,1,1,0,1,0,1,100.0,0,1,0,1,0,1,0,0,2,eng ENG,MF,es La Liga,25-051,2000,0.3,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,0,1,1,11,3,2,eng ENG,MF,es La Liga,25-051,2000,1,31,31,1.4,0.3,0,0,1,5,0.0,0,2,-2,-5.81,-5.24,0.9,0.6,0.4,1.1,2,eng ENG,MF,es La Liga,25-051,2000,0.3,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,46.7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,16000000
3,rodrigo abajas,es ESP,DF,Valencia,es La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.1,3,es ESP,DF,es La Liga,21-288,2003,0.7,0,1,0,1.38,0.0,0.0,0,0,0,0.1,0.1,-0.1,-0.1,3,es ESP,DF,es La Liga,21-288,2003,0.7,17,29,58.6,268,110,0,0.0,0.0,0.0,0,0,0,0,2,3,es ESP,DF,es La Liga,21-288,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,3,es ESP,DF,es La Liga,21-288,2003,0.7,0,0.0,0,0,0,0,0,0,0,0.0,3,es ESP,DF,es La Liga,21-288,2003,0.7,3,2,2,1,0,3,100.0,0,1,0,1,1,4,0,0,3,es ESP,DF,es La Liga,21-288,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,4,es ESP,DF,es La Liga,21-288,2003,1,65,65,2.9,0.7,1,0,0,8,0.0,1,2,-1,-1.38,-0.77,1.4,0.7,0.7,0.93,3,es ESP,DF,es La Liga,21-288,2003,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100000
4,james abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.0,0.06,4,ie IRL,"DF,MF",it Serie A,21-039,2004,1.0,0,1,0,1.02,0.0,0.2,0,0,0,0.1,0.1,-0.1,-0.1,4,ie IRL,"DF,MF",it Serie A,21-039,2004,1.0,36,46,78.3,614,206,0,0.0,0.0,0.0,0,2,0,0,4,4,ie IRL,"DF,MF",it Serie A,21-039,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,4,ie IRL,"DF,MF",it Serie A,21-039,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.0,4,ie IRL,"DF,MF",it Serie A,21-039,2004,1.0,4,2,4,0,0,3,66.7,1,2,1,1,1,5,3,0,4,ie IRL,"DF,MF",it Serie A,21-039,2004,1.0,65,8,37,22,7,2,65,0,0,42.1,0,47.4,29,219,165,3,1,1,1,3,34,1,5,ie IRL,"DF,MF",it Serie A,21-039,2004,6,88,15,3.8,1.0,0,0,6,12,1.67,2,0,2,2.05,2.29,0.6,1.5,-0.9,-0.91,4,ie IRL,"DF,MF",it Serie A,21-039,2004,1.0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800000
6,yunis abdelhamid,ma MAR,DF,Saint-Ãtienne,fr Ligue 1,37,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.0,0.03,6,ma MAR,DF,fr Ligue 1,37-149,1987,10.8,0,2,1,0.18,0.09,0.0,0,0,0,0.2,0.2,-0.2,-0.2,6,ma MAR,DF,fr Ligue 1,37-149,1987,10.8,432,498,86.7,7860,2367,0,0.1,0.3,-0.1,2,27,0,0,22,6,ma MAR,DF,fr Ligue 1,37-149,1987,10.8,498,456,40,20,0,0,0,1,0,0,0,0,432,2,1,6,ma MAR,DF,fr Ligue 1,37-149,1987,10.8,6,0.55,5,1,0,0,0,0,0,0.0,6,ma MAR,DF,fr Ligue 1,37-149,1987,10.8,17,11,15,2,0,16,62.5,6,24,17,7,13,30,56,1,6,ma MAR,DF,fr Ligue 1,37-149,1987,10.8,630,124,405,213,14,7,630,6,3,50.0,3,50.0,319,1723,837,4,1,0,8,3,390,3,8,ma MAR,DF,fr Ligue 1,37-149,1987,12,976,81,47.1,10.8,11,9,1,10,0.5,4,31,-27,-2.49,-2.24,8.0,26.3,-18.3,-1.68,6,ma MAR,DF,fr Ligue 1,37-149,1987,10.8,2,0,0,16,6,0,0,13,11,0,0,0,42,19,8,70.4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500000
7,himad abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25,1999,22,22,1952,21.7,6,1,7,3,3,4,2,0,5.5,2.3,2.8,5.1,80,147,90,0.18,0.38,7,dz ALG,"MF,FW",fr Ligue 1,25-099,1999,21.7,6,21,6,0.97,0.28,0.5,0,3,4,5.5,2.3,0.5,0.7,7,dz ALG,"MF,FW",fr Ligue 1,25-099,1999,21.7,993,1210,82.1,15048,4044,1,2.8,2.7,-1.8,29,114,27,1,147,7,dz ALG,"MF,FW",fr Ligue 1,25-099,1999,21.7,1210,1124,80,31,17,7,36,12,8,4,2,0,993,6,24,7,dz ALG,"MF,FW",fr Ligue 1,25-099,1999,21.7,66,3.04,57,2,2,1,2,2,2,0.09,7,dz ALG,"MF,FW",fr Ligue 1,25-099,1999,21.7,34,24,8,14,12,30,36.7,19,13,0,13,16,50,16,1,7,dz ALG,"MF,FW",fr Ligue 1,25-099,1999,21.7,1426,18,190,815,447,40,1422,87,41,47.1,44,50.6,840,5367,3049,80,61,16,37,31,1052,90,10,dz ALG,"MF,FW",fr Ligue 1,25-099,1999,22,1952,89,94.3,21.7,22,17,0,0,1.09,22,34,-12,-0.55,-3.6,24.6,33.3,-8.7,-0.4,7,dz ALG,"MF,FW",fr Ligue 1,25-099,1999,21.7,2,0,0,34,26,2,36,16,24,0,0,0,122,10,16,38.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000000
9,ali abdi,tn TUN,DF,Nice,fr Ligue 1,31,1993,15,11,931,10.3,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,26,29,58,0.39,0.25,9,tn TUN,DF,fr Ligue 1,31-066,1993,10.3,2,16,5,1.55,0.48,0.4,0,0,0,1.2,1.2,0.8,0.8,9,tn TUN,DF,fr Ligue 1,31-066,1993,10.3,319,432,73.8,5039,1729,2,1.4,1.2,0.6,13,11,13,3,29,9,tn TUN,DF,fr Ligue 1,31-066,1993,10.3,432,351,77,8,0,2,25,69,0,0,0,0,319,4,11,9,tn TUN,DF,fr Ligue 1,31-066,1993,10.3,29,2.8,20,3,3,2,0,1,2,0.19,9,tn TUN,DF,fr Ligue 1,31-066,1993,10.3,24,16,10,8,6,30,63.3,11,17,4,13,11,35,28,0,9,tn TUN,DF,fr Ligue 1,31-066,1993,10.3,564,39,163,221,184,30,564,15,7,46.7,8,53.3,230,1116,619,26,9,8,19,10,305,58,12,tn TUN,DF,fr Ligue 1,31-066,1993,15,931,62,45.0,10.3,11,5,4,0,1.93,17,8,9,0.87,0.08,17.5,10.4,7.1,0.69,9,tn TUN,DF,fr Ligue 1,31-066,1993,10.3,1,0,0,15,7,2,25,11,16,0,0,0,44,13,10,56.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000000
10,saud abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,18,0.63,0.09,10,sa KSA,DF,it Serie A,25-221,1999,1.6,0,1,0,0.63,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,10,sa KSA,DF,it Serie A,25-221,1999,1.6,77,86,89.5,1142,226,1,0.1,0.2,0.9,1,3,2,1,6,10,sa KSA,DF,it Serie A,25-221,1999,1.6,86,68,18,1,0,0,4,17,0,0,0,0,77,0,1,10,sa KSA,DF,it Serie A,25-221,1999,1.6,3,1.91,3,0,0,0,0,0,1,0.64,10,sa KSA,DF,it Serie A,25-221,1999,1.6,2,1,1,0,1,1,100.0,0,1,0,1,1,3,0,0,10,sa KSA,DF,it Serie A,25-221,1999,1.6,97,0,18,45,35,3,97,5,2,40.0,1,20.0,62,274,119,4,0,1,2,1,72,18,13,sa KSA,DF,it Serie A,25-221,1999,3,142,47,6.3,1.6,1,0,2,20,1.0,3,1,2,1.27,1.05,1.9,1.4,0.5,0.33,10,sa KSA,DF,it Serie A,25-221,1999,1.6,0,0,0,1,4,0,4,1,1,0,1,0,2,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000000
12,nabil aberdin,fr FRA,MF,Getafe,es La Liga,22,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.0,0.02,12,fr FRA,MF,es La Liga,22-185,2002,2.9,0,2,0,0.68,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,12,fr FRA,MF,es La Liga,22-185,2002,2.9,36,61,59.0,680,267,0,0.0,0.1,0.0,1,7,2,0,6,12,fr FRA,MF,es La Liga,22-185,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,12,fr FRA,MF,es La Liga,22-185,2002,2.9,3,1.03,3,0,0,0,0,0,0,0.0,12,fr FRA,MF,es La Liga,22-185,2002,2.9,6,4,3,3,0,1,100.0,0,3,0,3,0,6,5,0,12,fr FRA,MF,es La Liga,22-185,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,15,fr FRA,MF,es La Liga,22-185,2002,7,263,38,11.7,2.9,4,1,3,7,1.14,1,2,-1,-0.34,-0.43,1.8,1.6,0.2,0.07,12,fr FRA,MF,es La Liga,22-185,2002,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800000
13,oliver abildgaard,dk DEN,MF,Como,it Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,13,dk DEN,MF,it Serie A,28-259,1996,0.1,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,13,dk DEN,MF,it Serie A,28-259,1996,0.1,1,1,100.0,21,7,0,0.0,0.0,0.0,0,0,0,0,0,13,dk DEN,MF,it Serie A,28-259,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13,dk DEN,MF,it Serie A,28-259,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,13,dk DEN,MF,it Serie A,28-259,1996,0.1,0,0,0,0,0,0,50.0,0,1,0,1,0,0,0,0,13,dk DEN,MF,it Serie A,28-259,1996,0.1,2,0,1,1,0,0,2,0,0,46.2,0,42.9,0,0,0,0,0,0,0,0,0,0,16,dk DEN,MF,it Serie A,28-259,1996,1,7,7,0.3,0.1,0,0,1,0,0.0,0,0,0,0.0,0.35,0.0,0.0,0.0,-0.61,13,dk DEN,MF,it Serie A,28-259,1996,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46.7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500000
