id_player,player_name,nationality,field_position,id_team,assists,corners_taken,offsides,dribbles,total_attempts,attempts_on_target,attempts_off_target,blocked,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,yellow_cards,red_cards,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,distance_covered(km/h),top_speed,minutes_played,matches_appareance,Position,Age,Market Value,Club Name
250016833,harry kane,England,Forward,50037,1.0,0.0,3.0,10.0,20.0,12.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,0,0,82.0,118.0,97.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,43.71,30.35,360.0,4.0,Centre-Forward,31.0,€150.00m,Bayern Munich
250105927,viktor gyokeres,Sweden,Forward,50149,0.0,0.0,3.0,6.0,15.0,8.0,3.0,4.0,1.0,2.0,0.0,2.0,5.0,10.0,7.0,0,0,73.25,75.0,56.0,50.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,41.94,34.55,360.0,4.0,Centre-Forward,26.0,€75.00m,Sporting CP
250121533,vinicius junior,Brazil,Forward,50051,0.0,7.0,0.0,34.0,17.0,10.0,6.0,1.0,5.0,5.0,0.0,5.0,0.0,8.0,4.0,2,0,76.0,139.0,106.0,37.5,16.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,38.39,35.47,360.0,4.0,Left Winger,24.0,€200.00m,Real Madrid
250121294,tijjani reijnders,Netherlands,Midfielder,50058,0.0,0.0,1.0,7.0,8.0,5.0,1.0,2.0,10.0,2.0,0.0,2.0,1.0,1.0,2.0,0,0,96.0,173.0,166.0,0.0,3.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,46.61,32.26,360.0,4.0,Central Midfield,26.0,€50.00m,AC Milan
250160436,maghnes akliouche,France,Midfielder,50023,1.0,9.0,2.0,10.0,10.0,4.0,3.0,3.0,9.0,3.0,0.0,3.0,2.0,5.0,8.0,0,0,87.5,167.0,146.0,44.45,18.0,8.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,44.67,33.39,360.0,4.0,Right Winger,22.0,€40.00m,AS Monaco
250028211,antonio rudiger,Germany,Defender,50051,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,21.0,5.0,2.0,3.0,12.0,6.0,0.0,1,0,94.75,242.0,228.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,39.28,31.7,360.0,4.0,Centre-Back,31.0,€50.00m,Real Madrid
250123677,malik tillman,USA,Midfielder,50062,2.0,5.0,0.0,6.0,7.0,2.0,3.0,2.0,22.0,7.0,3.0,4.0,9.0,3.0,10.0,1,0,88.0,174.0,152.0,25.0,8.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,46.72,33.97,360.0,4.0,Attacking Midfield,22.0,€30.00m,PSV Eindhoven
250055663,thilo kehrer,Germany,Defender,50023,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,26.0,6.0,1.0,5.0,10.0,6.0,0.0,1,0,90.0,248.0,225.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,37.94,32.48,360.0,4.0,Centre-Back,28.0,€35.00m,AS Monaco
250064188,hans vanaken,Belgium,Midfielder,50043,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,12.0,3.0,2.0,1.0,6.0,2.0,1.0,0,0,92.0,216.0,200.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,46.53,29.99,360.0,4.0,Attacking Midfield,32.0,€16.00m,Club Brugge KV
250088061,achraf hakimi,Morocco,Defender,52747,0.0,0.0,0.0,14.0,17.0,6.0,7.0,4.0,22.0,4.0,1.0,3.0,4.0,6.0,8.0,0,0,90.25,281.0,254.0,25.0,16.0,4.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,44.88,36.55,360.0,4.0,Right-Back,26.0,€70.00m,Paris Saint-Germain
